"Time (s) 2.0V","Angle (rad) 2.0V","Angular Velocity (rad/s) 2.0V","Angular Acceleration (rad/s²) 2.0V","Position (m) 2.0V","Velocity (m/s) 2.0V","Acceleration (m/s²) 2.0V","Time (s) 1.5V","Angle (rad) 1.5V","Angular Velocity (rad/s) 1.5V","Angular Acceleration (rad/s²) 1.5V","Position (m) 1.5V","Velocity (m/s) 1.5V","Acceleration (m/s²) 1.5V","Time (s) 1.0V","Angle (rad) 1.0V","Angular Velocity (rad/s) 1.0V","Angular Acceleration (rad/s²) 1.0V","Position (m) 1.0V","Velocity (m/s) 1.0V","Acceleration (m/s²) 1.0V","Time (s) 2.5V","Angle (rad) 2.5V","Angular Velocity (rad/s) 2.5V","Angular Acceleration (rad/s²) 2.5V","Position (m) 2.5V","Velocity (m/s) 2.5V","Acceleration (m/s²) 2.5V","Time (s) 3.0V","Angle (rad) 3.0V","Angular Velocity (rad/s) 3.0V","Angular Acceleration (rad/s²) 3.0V","Position (m) 3.0V","Velocity (m/s) 3.0V","Acceleration (m/s²) 3.0V","Time (s) 4.0V","Angle (rad) 4.0V","Angular Velocity (rad/s) 4.0V","Angular Acceleration (rad/s²) 4.0V","Position (m) 4.0V","Velocity (m/s) 4.0V","Acceleration (m/s²) 4.0V","Time (s) 4.5V","Angle (rad) 4.5V","Angular Velocity (rad/s) 4.5V","Angular Acceleration (rad/s²) 4.5V","Position (m) 4.5V","Velocity (m/s) 4.5V","Acceleration (m/s²) 4.5V","Time (s) 5.0V","Angle (rad) 5.0V","Angular Velocity (rad/s) 5.0V","Angular Acceleration (rad/s²) 5.0V","Position (m) 5.0V","Velocity (m/s) 5.0V","Acceleration (m/s²) 5.0V","Time (s) 5.5V","Angle (rad) 5.5V","Angular Velocity (rad/s) 5.5V","Angular Acceleration (rad/s²) 5.5V","Position (m) 5.5V","Velocity (m/s) 5.5V","Acceleration (m/s²) 5.5V","Time (s) 6.0V","Angle (rad) 6.0V","Angular Velocity (rad/s) 6.0V","Angular Acceleration (rad/s²) 6.0V","Position (m) 6.0V","Velocity (m/s) 6.0V","Acceleration (m/s²) 6.0V","Time (s) 6.5V","Angle (rad) 6.5V","Angular Velocity (rad/s) 6.5V","Angular Acceleration (rad/s²) 6.5V","Position (m) 6.5V","Velocity (m/s) 6.5V","Acceleration (m/s²) 6.5V","Time (s) 3.5V","Angle (rad) 3.5V","Angular Velocity (rad/s) 3.5V","Angular Acceleration (rad/s²) 3.5V","Position (m) 3.5V","Velocity (m/s) 3.5V","Acceleration (m/s²) 3.5V"
1.550,-2.813,-3.074,20.595,-0.0672,-0.073,0.492,1.550,-0.294,-0.445,-14.050,-0.0070,-0.011,-0.335,1.550,-1.830,-3.471,6.580,-0.0437,-0.083,0.157,,,,,,,,1.550,0.154,-3.121,-22.358,0.0037,-0.075,-0.534,1.550,-1.495,5.142,23.178,-0.0357,0.123,0.553,1.550,-2.284,2.382,25.098,-0.0545,0.057,0.599,1.550,-2.529,-0.257,10.472,-0.0604,-0.006,0.250,1.550,-2.235,6.980,31.695,-0.0534,0.167,0.757,1.550,-1.940,6.388,37.943,-0.0463,0.153,0.906,1.550,0.848,11.247,-32.027,0.0203,0.269,-0.765,1.550,-2.472,-2.131,14.556,-0.0590,-0.051,0.348
1.600,-2.936,-2.026,17.820,-0.0701,-0.048,0.425,1.600,-0.292,-1.518,-24.051,-0.0070,-0.036,-0.574,1.600,-2.006,-3.079,7.435,-0.0479,-0.073,0.178,,,,,,,,1.600,-0.110,-4.451,-14.696,-0.0026,-0.106,-0.351,1.600,-1.210,6.404,24.208,-0.0289,0.153,0.578,1.600,-2.139,3.749,30.526,-0.0511,0.089,0.729,1.600,-2.543,0.073,8.552,-0.0607,0.002,0.204,1.600,-1.843,8.650,28.955,-0.0440,0.206,0.691,1.600,-1.572,8.477,38.118,-0.0375,0.202,0.910,1.600,1.389,8.917,-53.651,0.0332,0.213,-1.281,1.600,-2.567,-1.367,14.957,-0.0613,-0.033,0.357
1.650,-3.010,-1.199,12.985,-0.0718,-0.029,0.310,1.650,-0.390,-3.194,-27.367,-0.0093,-0.076,-0.653,1.650,-2.135,-2.717,7.697,-0.0510,-0.065,0.184,,,,,,,,1.650,-0.380,-4.828,-2.443,-0.0091,-0.115,-0.058,1.650,-0.856,7.676,21.764,-0.0204,0.183,0.520,1.650,-1.921,5.424,35.832,-0.0459,0.130,0.855,1.650,-2.531,0.471,9.652,-0.0604,0.011,0.230,1.650,-1.363,10.090,20.211,-0.0325,0.241,0.483,1.650,-1.090,10.472,30.665,-0.0260,0.250,0.732,1.650,1.772,5.623,-68.836,0.0423,0.134,-1.643,1.650,-2.611,-0.586,13.683,-0.0623,-0.014,0.327
1.700,-3.041,-0.707,7.645,-0.0726,-0.017,0.183,1.700,-0.641,-4.686,-22.096,-0.0153,-0.112,-0.527,1.700,-2.270,-2.330,8.273,-0.0542,-0.056,0.197,,,,,,,,1.700,-0.600,-4.346,4.922,-0.0143,-0.104,0.117,1.700,-0.437,8.749,14.574,-0.0104,0.209,0.348,1.700,-1.608,7.393,38.869,-0.0384,0.177,0.928,1.700,-2.496,1.021,12.235,-0.0596,0.024,0.292,1.700,-0.815,10.922,4.887,-0.0195,0.261,0.117,1.700,-0.507,11.880,14.382,-0.0121,0.284,0.343,1.700,1.967,1.785,-76.934,0.0470,0.043,-1.837,1.700,-2.620,0.089,10.228,-0.0626,0.002,0.244
1.750,-3.068,-0.497,3.578,-0.0732,-0.012,0.085,1.750,-0.903,-5.487,-13.387,-0.0216,-0.131,-0.320,1.750,-2.381,-1.911,8.657,-0.0569,-0.046,0.207,,,,,,,,1.750,-0.804,-3.958,5.096,-0.0192,-0.095,0.122,1.750,0.035,9.325,2.443,8.2500E-4,0.223,0.058,1.750,-1.188,9.488,36.582,-0.0283,0.227,0.873,1.750,-2.435,1.691,15.202,-0.0581,0.040,0.363,1.750,-0.236,10.770,-15.184,-0.0056,0.257,-0.363,1.750,0.137,12.184,-8.762,0.0033,0.291,-0.209,1.750,1.957,-2.272,-78.330,0.0467,-0.054,-1.870,1.750,-2.595,0.518,4.782,-0.0620,0.012,0.114
1.800,-3.090,-0.435,1.449,-0.0738,-0.010,0.035,1.800,-1.184,-5.854,-6.021,-0.0283,-0.140,-0.144,1.800,-2.458,-1.403,7.592,-0.0587,-0.033,0.181,,,,,,,,1.800,-0.990,-3.843,2.513,-0.0236,-0.092,0.060,1.800,0.525,9.126,-13.020,0.0125,0.218,-0.311,1.800,-0.655,11.346,26.232,-0.0156,0.271,0.626,1.800,-2.333,2.524,18.535,-0.0557,0.060,0.443,1.800,0.306,9.435,-35.971,0.0073,0.225,-0.859,1.800,0.765,11.079,-33.842,0.0183,0.265,-0.808,1.800,1.739,-6.267,-72.553,0.0415,-0.150,-1.732,1.800,-2.556,0.597,-0.908,-0.0610,0.014,-0.022
1.850,-3.110,-0.398,0.768,-0.0742,-0.010,0.018,1.850,-1.492,-6.042,-0.384,-0.0356,-0.144,-0.009,1.850,-2.520,-1.047,5.009,-0.0602,-0.025,0.120,,,,,,,,1.850,-1.178,-3.801,1.274,-0.0281,-0.091,0.030,1.850,0.980,8.032,-28.798,0.0234,0.192,-0.687,1.850,-0.028,12.446,7.435,-6.7500E-4,0.297,0.177,1.850,-2.187,3.529,22.462,-0.0522,0.084,0.536,1.850,0.746,7.021,-53.023,0.0178,0.168,-1.266,1.850,1.293,8.645,-55.379,0.0309,0.206,-1.322,1.850,1.318,-9.823,-58.486,0.0315,-0.234,-1.396,1.850,-2.520,0.340,-4.224,-0.0602,0.008,-0.101
1.900,-3.129,-0.372,0.803,-0.0747,-0.009,0.019,1.900,-1.808,-5.938,4.259,-0.0432,-0.142,0.102,1.900,-2.553,-0.916,2.409,-0.0609,-0.022,0.058,,,,,,,,1.900,-1.379,-3.749,1.117,-0.0329,-0.090,0.027,1.900,1.356,6.137,-41.853,0.0324,0.146,-0.999,1.900,0.636,12.305,-16.650,0.0152,0.294,-0.398,1.900,-1.987,4.744,26.669,-0.0474,0.113,0.637,1.900,1.034,3.880,-63.390,0.0247,0.093,-1.513,1.900,1.660,5.267,-70.005,0.0396,0.126,-1.671,1.900,0.726,-12.430,-36.652,0.0173,-0.297,-0.875,1.900,-2.516,-0.005,-3.595,-0.0601,-1.250E-4,-0.086
1.950,-3.148,-0.330,1.134,-0.0752,-0.008,0.027,1.950,-2.092,-5.519,7.592,-0.0500,-0.132,0.181,1.950,-2.601,-0.895,1.449,-0.0621,-0.021,0.035,,,,,,,,1.950,-1.555,-3.670,1.292,-0.0371,-0.088,0.031,1.950,1.613,3.676,-50.196,0.0385,0.088,-1.198,1.950,1.255,10.760,-40.509,0.0300,0.257,-0.967,1.950,-1.722,6.210,29.915,-0.0411,0.148,0.714,1.950,1.144,0.419,-66.131,0.0273,0.010,-1.579,1.950,1.835,1.382,-77.056,0.0438,0.033,-1.840,1.950,0.024,-13.655,-11.065,5.6250E-4,-0.326,-0.264,1.950,-2.532,-0.147,-0.244,-0.0605,-0.004,-0.006
2.000,-3.164,-0.262,1.588,-0.0755,-0.006,0.038,2.000,-2.366,-5.100,10.297,-0.0565,-0.122,0.246,2.000,-2.652,-0.833,1.833,-0.0633,-0.020,0.044,,,,,,,,2.000,-1.737,-3.639,2.688,-0.0415,-0.087,0.064,2.000,1.733,0.927,-53.023,0.0414,0.022,-1.266,2.000,1.753,8.037,-59.324,0.0419,0.192,-1.416,2.000,-1.374,7.844,29.898,-0.0328,0.187,0.714,2.000,1.073,-2.979,-61.383,0.0256,-0.071,-1.465,2.000,1.803,-2.660,-76.882,0.0430,-0.064,-1.835,2.000,-0.696,-13.430,11.798,-0.0166,-0.321,0.282,2.000,-2.545,0.005,2.723,-0.0608,1.250E-4,0.065
2.050,-3.175,-0.168,2.025,-0.0758,-0.004,0.048,2.050,-2.590,-4.602,13.840,-0.0618,-0.110,0.330,2.050,-2.689,-0.696,2.304,-0.0642,-0.017,0.055,,,,,,,,2.050,-1.921,-3.524,6.074,-0.0459,-0.084,0.145,2.050,1.706,-1.817,-50.300,0.0407,-0.043,-1.201,2.050,2.083,4.561,-71.192,0.0497,0.109,-1.700,2.050,-0.936,9.404,24.173,-0.0223,0.225,0.577,2.050,0.833,-5.959,-49.602,0.0199,-0.142,-1.184,2.050,1.565,-6.545,-69.150,0.0373,-0.156,-1.651,2.050,-1.357,-12.142,26.442,-0.0324,-0.290,0.631,2.050,-2.535,0.257,3.281,-0.0605,0.006,0.078
2.100,-3.181,-0.058,2.513,-0.0759,-0.001,0.060,2.100,-2.840,-3.765,17.453,-0.0678,-0.090,0.417,2.100,-2.714,-0.565,2.391,-0.0648,-0.014,0.057,,,,,,,,2.100,-2.105,-3.089,10.629,-0.0503,-0.074,0.254,2.100,1.541,-4.278,-42.446,0.0368,-0.102,-1.013,2.100,2.220,0.707,-76.620,0.0530,0.017,-1.829,2.100,-0.419,10.519,11.676,-0.0100,0.251,0.279,2.100,0.451,-8.158,-31.957,0.0108,-0.195,-0.763,2.100,1.133,-9.870,-53.337,0.0270,-0.236,-1.273,2.100,-1.923,-10.404,31.102,-0.0459,-0.248,0.743,2.100,-2.512,0.408,1.955,-0.0600,0.010,0.047
2.150,-3.181,0.073,3.246,-0.0759,0.002,0.077,2.150,-2.999,-2.702,17.994,-0.0716,-0.065,0.430,2.150,-2.747,-0.471,2.548,-0.0656,-0.011,0.061,,,,,,,,2.150,-2.245,-2.398,14.207,-0.0536,-0.057,0.339,2.150,1.260,-6.210,-30.299,0.0301,-0.148,-0.723,2.150,2.157,-3.267,-76.253,0.0515,-0.078,-1.820,2.150,0.145,10.786,-6.248,0.0035,0.258,-0.149,2.150,-0.022,-9.283,-11.013,-5.2500E-4,-0.222,-0.263,2.150,0.542,-12.153,-30.788,0.0129,-0.290,-0.735,2.150,-2.392,-8.749,27.733,-0.0571,-0.209,0.662,2.150,-2.488,0.435,0.890,-0.0594,0.010,0.021
2.200,-3.175,0.251,4.328,-0.0758,0.006,0.103,2.200,-3.087,-1.765,14.835,-0.0737,-0.042,0.354,2.200,-2.763,-0.340,2.810,-0.0660,-0.008,0.067,,,,,,,,2.200,-2.340,-1.576,14.626,-0.0559,-0.038,0.349,2.200,0.895,-7.414,-15.219,0.0214,-0.177,-0.363,2.200,1.891,-7.121,-69.394,0.0451,-0.170,-1.657,2.200,0.701,9.964,-26.005,0.0167,0.238,-0.621,2.200,-0.520,-9.242,9.460,-0.0124,-0.221,0.226,2.200,-0.135,-13.053,-5.952,-0.0032,-0.312,-0.142,2.200,-2.782,-7.493,19.967,-0.0664,-0.179,0.477,2.200,-2.469,0.414,1.990,-0.0590,0.010,0.048
2.250,-3.159,0.497,5.690,-0.0754,0.012,0.136,2.250,-3.154,-1.204,10.315,-0.0753,-0.029,0.246,2.250,-2.782,-0.157,2.513,-0.0664,-0.004,0.060,,,,,,,,2.250,-2.405,-0.775,11.327,-0.0574,-0.018,0.270,2.250,0.489,-7.770,0.785,0.0117,-0.185,0.019,2.250,1.431,-10.488,-54.943,0.0342,-0.250,-1.312,2.250,1.180,8.084,-43.476,0.0282,0.193,-1.038,2.250,-0.982,-8.179,25.901,-0.0234,-0.195,0.618,2.250,-0.814,-12.598,15.115,-0.0194,-0.301,0.361,2.250,-3.123,-6.733,11.083,-0.0745,-0.161,0.265,2.250,-2.447,0.518,5.952,-0.0584,0.012,0.142
2.300,-3.127,0.817,7.313,-0.0747,0.019,0.175,2.300,-3.214,-0.812,6.109,-0.0767,-0.019,0.146,2.300,-2.782,-0.037,0.995,-0.0664,-8.750E-4,0.024,,,,,,,,2.300,-2.417,-0.325,5.847,-0.0577,-0.008,0.140,2.300,0.088,-7.283,15.341,0.0021,-0.174,0.366,2.300,0.809,-12.891,-33.912,0.0193,-0.308,-0.810,2.300,1.535,5.419,-56.095,0.0366,0.129,-1.339,2.300,-1.362,-6.425,36.443,-0.0325,-0.153,0.870,2.300,-1.428,-11.210,27.925,-0.0341,-0.268,0.667,2.300,-3.440,-6.430,3.107,-0.0821,-0.153,0.074,2.300,-2.428,0.922,12.182,-0.0580,0.022,0.291
2.350,-3.079,1.215,9.442,-0.0735,0.029,0.225,2.350,-3.233,-0.560,1.955,-0.0772,-0.013,0.047,2.350,-2.776,-0.021,-0.977,-0.0663,-5.000E-4,-0.023,,,,,,,,2.350,-2.400,-0.251,1.309,-0.0573,-0.006,0.031,2.350,-0.264,-6.105,26.459,-0.0063,-0.146,0.632,2.350,0.093,-13.980,-10.891,0.0022,-0.334,-0.260,2.350,1.736,2.288,-63.443,0.0414,0.055,-1.515,2.350,-1.634,-4.330,41.364,-0.0390,-0.103,0.987,2.350,-1.945,-9.461,31.748,-0.0464,-0.226,0.758,2.350,-3.754,-6.487,-2.950,-0.0896,-0.155,-0.070,2.350,-2.373,1.712,19.234,-0.0567,0.041,0.459
2.400,-3.010,1.728,12.427,-0.0719,0.041,0.297,2.400,-3.252,-0.576,-2.339,-0.0776,-0.014,-0.056,2.400,-2.780,-0.178,-1.641,-0.0664,-0.004,-0.039,,,,,,,,2.400,-2.443,-0.346,-0.157,-0.0583,-0.008,-0.004,2.400,-0.537,-4.477,33.266,-0.0128,-0.107,0.794,2.400,-0.638,-13.802,7.557,-0.0152,-0.330,0.180,2.400,1.770,-1.068,-66.026,0.0423,-0.026,-1.576,2.400,-1.795,-2.157,42.272,-0.0429,-0.052,1.009,2.400,-2.367,-7.812,29.042,-0.0565,-0.187,0.693,2.400,-4.079,-6.807,-6.248,-0.0974,-0.163,-0.149,2.400,-2.267,2.875,25.953,-0.0541,0.069,0.620
2.450,-2.912,2.419,16.389,-0.0695,0.058,0.391,2.450,-3.285,-0.853,-5.742,-0.0784,-0.020,-0.137,2.450,-2.790,-0.309,-0.192,-0.0666,-0.007,-0.005,,,,,,,,2.450,-2.455,-0.361,0.768,-0.0586,-0.009,0.018,2.450,-0.718,-2.639,36.111,-0.0171,-0.063,0.862,2.450,-1.316,-12.844,16.650,-0.0314,-0.307,0.398,2.450,1.630,-4.461,-63.617,0.0389,-0.106,-1.519,2.450,-1.847,-0.037,40.788,-0.0441,-8.750E-4,0.974,2.450,-2.713,-6.472,23.038,-0.0648,-0.154,0.550,2.450,-4.430,-7.241,-5.707,-0.1057,-0.173,-0.136,2.450,-2.095,4.335,31.870,-0.0500,0.103,0.761
2.500,-2.776,3.341,21.188,-0.0663,0.080,0.506,2.500,-3.335,-1.220,-7.767,-0.0796,-0.029,-0.185,2.500,-2.821,-0.241,2.059,-0.0674,-0.006,0.049,,,,,,,,2.500,-2.466,-0.262,3.107,-0.0589,-0.006,0.074,2.500,-0.801,-0.770,35.989,-0.0191,-0.018,0.859,2.500,-1.923,-11.760,16.074,-0.0459,-0.281,0.384,2.500,1.319,-7.639,-55.135,0.0315,-0.182,-1.316,2.500,-1.795,1.963,37.786,-0.0429,0.047,0.902,2.500,-3.003,-5.487,15.848,-0.0717,-0.131,0.378,2.500,-4.807,-7.550,-0.471,-0.1147,-0.180,-0.011,2.500,-1.844,6.084,36.443,-0.0440,0.145,0.870
2.550,-2.587,4.519,26.564,-0.0618,0.108,0.634,2.550,-3.405,-1.639,-9.128,-0.0813,-0.039,-0.218,2.550,-2.827,-0.016,3.107,-0.0675,-3.750E-4,0.074,,,,,,,,2.550,-2.485,-0.105,6.650,-0.0593,-0.003,0.159,2.550,-0.792,1.021,33.772,-0.0189,0.024,0.806,2.550,-2.476,-11.027,9.564,-0.0591,-0.263,0.228,2.550,0.848,-10.226,-40.178,0.0203,-0.244,-0.959,2.550,-1.645,3.786,33.249,-0.0393,0.090,0.794,2.550,-3.250,-4.875,8.308,-0.0776,-0.116,0.198,2.550,-5.199,-7.456,9.250,-0.1241,-0.178,0.221,2.550,-1.495,8.063,38.031,-0.0357,0.192,0.908
2.600,-2.333,5.985,31.940,-0.0557,0.143,0.762,2.600,-3.497,-2.121,-10.629,-0.0835,-0.051,-0.254,2.600,-2.815,0.147,3.595,-0.0672,0.004,0.086,,,,,,,,2.600,-2.491,0.330,11.222,-0.0595,0.008,0.268,2.600,-0.694,2.660,29.758,-0.0166,0.063,0.710,2.600,-3.007,-10.797,2.409,-0.0718,-0.258,0.057,2.600,0.261,-11.844,-20.787,0.0062,-0.283,-0.496,2.600,-1.409,5.356,26.581,-0.0336,0.128,0.635,2.600,-3.476,-4.655,1.012,-0.0830,-0.111,0.024,2.600,-5.575,-6.733,21.869,-0.1331,-0.161,0.522,2.600,-1.041,10.079,33.877,-0.0249,0.241,0.809
2.650,-2.000,7.744,35.762,-0.0477,0.185,0.854,2.650,-3.614,-2.691,-12.305,-0.0863,-0.064,-0.294,2.650,-2.801,0.236,6.196,-0.0669,0.006,0.148,,,,,,,,2.650,-2.461,1.042,16.040,-0.0588,0.025,0.383,2.650,-0.518,4.063,23.736,-0.0124,0.097,0.567,2.650,-3.541,-10.938,-0.733,-0.0845,-0.261,-0.018,2.650,-0.379,-12.310,-1.484,-0.0090,-0.294,-0.035,2.650,-1.098,6.545,17.087,-0.0262,0.156,0.408,2.650,-3.702,-4.812,-5.219,-0.0884,-0.115,-0.125,2.650,-5.898,-5.283,34.889,-0.1408,-0.126,0.833,2.650,-0.479,11.750,21.729,-0.0114,0.281,0.519
2.700,-1.568,9.697,35.186,-0.0374,0.231,0.840,2.700,-3.762,-3.356,-13.788,-0.0898,-0.080,-0.329,2.700,-2.804,0.586,12.078,-0.0669,0.014,0.288,,,,,,,,2.700,-2.391,1.958,20.612,-0.0571,0.047,0.492,2.700,-0.276,5.116,15.411,-0.0066,0.122,0.368,2.700,-4.097,-11.126,3.124,-0.0978,-0.266,0.075,2.700,-1.007,-11.791,12.723,-0.0240,-0.281,0.304,2.700,-0.735,7.179,4.730,-0.0175,0.171,0.113,2.700,-3.947,-5.246,-9.477,-0.0942,-0.125,-0.226,2.700,-6.128,-3.163,45.605,-0.1463,-0.076,1.089,2.700,0.163,12.561,1.937,0.0039,0.300,0.046
2.750,-1.029,11.535,27.192,-0.0246,0.275,0.649,2.750,-3.947,-4.095,-14.469,-0.0942,-0.098,-0.345,2.750,-2.768,1.403,19.286,-0.0661,0.033,0.460,,,,,,,,2.750,-2.273,3.079,25.499,-0.0543,0.074,0.609,2.750,0.009,5.686,4.904,2.2500E-4,0.136,0.117,2.750,-4.667,-10.917,14.539,-0.1114,-0.261,0.347,2.750,-1.577,-10.723,18.867,-0.0377,-0.256,0.450,2.750,-0.355,7.090,-9.372,-0.0085,0.169,-0.224,2.750,-4.222,-5.849,-10.926,-0.1008,-0.140,-0.261,2.750,-6.231,-0.560,51.836,-0.1488,-0.013,1.238,2.750,0.825,12.100,-21.747,0.0197,0.289,-0.519
2.800,-0.394,12.750,10.821,-0.0094,0.304,0.258,2.800,-4.170,-4.854,-13.614,-0.0996,-0.116,-0.325,2.800,-2.672,2.602,25.464,-0.0638,0.062,0.608,,,,,,,,2.800,-2.092,4.477,30.823,-0.0500,0.107,0.736,2.800,0.313,5.660,-6.981,0.0075,0.135,-0.167,2.800,-5.218,-9.880,31.276,-0.1246,-0.236,0.747,2.800,-2.078,-9.613,17.314,-0.0496,-0.229,0.413,2.800,0.002,6.231,-23.195,3.7500E-5,0.149,-0.554,2.800,-4.530,-6.461,-8.762,-0.1081,-0.154,-0.209,2.800,-6.191,2.225,52.377,-0.1478,0.053,1.250,2.800,1.423,10.310,-43.843,0.0340,0.246,-1.047
2.850,0.287,12.849,-11.205,0.0069,0.307,-0.267,2.850,-4.434,-5.534,-10.437,-0.1059,-0.132,-0.249,2.850,-2.512,4.006,30.351,-0.0600,0.096,0.725,,,,,,,,2.850,-1.836,6.173,35.552,-0.0438,0.147,0.849,2.850,0.598,4.990,-18.815,0.0143,0.119,-0.449,2.850,-5.694,-7.823,49.026,-0.1359,-0.187,1.170,2.850,-2.524,-8.828,10.961,-0.0603,-0.211,0.262,2.850,0.292,4.681,-34.505,0.0070,0.112,-0.824,2.850,-4.874,-6.875,-2.443,-0.1164,-0.164,-0.058,2.850,-6.004,4.880,47.141,-0.1433,0.117,1.125,2.850,1.891,7.477,-60.266,0.0451,0.178,-1.439
2.900,0.941,11.629,-33.423,0.0225,0.278,-0.798,2.900,-4.731,-6.000,-4.416,-0.1130,-0.143,-0.105,2.900,-2.279,5.623,34.592,-0.0544,0.134,0.826,,,,,,,,2.900,-1.484,8.111,37.507,-0.0354,0.194,0.895,2.900,0.833,3.718,-28.833,0.0199,0.089,-0.688,2.900,-6.033,-4.838,63.111,-0.1440,-0.116,1.507,2.900,-2.944,-8.493,3.334,-0.0703,-0.203,0.080,2.900,0.487,2.628,-41.469,0.0116,0.063,-0.990,2.900,-5.234,-6.849,7.662,-0.1249,-0.163,0.183,2.900,-5.688,7.110,37.210,-0.1358,0.170,0.888,2.900,2.190,4.032,-70.040,0.0523,0.096,-1.672
2.950,1.491,9.294,-50.772,0.0356,0.222,-1.212,2.950,-5.047,-6.079,4.328,-0.1205,-0.145,0.103,2.950,-1.959,7.487,37.420,-0.0468,0.179,0.893,,,,,,,,2.950,-1.029,10.111,33.859,-0.0246,0.241,0.808,2.950,0.986,1.984,-35.325,0.0236,0.047,-0.843,2.950,-6.198,-1.251,70.040,-0.1480,-0.030,1.672,2.950,-3.360,-8.556,-2.810,-0.0802,-0.204,-0.067,2.950,0.564,0.340,-42.918,0.0135,0.008,-1.025,2.950,-5.581,-6.194,20.141,-0.1332,-0.148,0.481,2.950,-5.270,8.697,24.836,-0.1258,0.208,0.593,2.950,2.301,0.298,-74.246,0.0549,0.007,-1.772
3.000,1.891,6.278,-61.244,0.0451,0.150,-1.462,3.000,-5.358,-5.634,14.800,-0.1279,-0.135,0.353,3.000,-1.538,9.498,36.093,-0.0367,0.227,0.862,,,,,,,,3.000,-0.467,11.791,22.358,-0.0111,0.282,0.534,3.000,1.040,0.016,-37.088,0.0248,3.750E-4,-0.885,3.000,-6.165,2.482,68.050,-0.1472,0.059,1.625,3.000,-3.790,-8.885,-5.463,-0.0905,-0.212,-0.130,3.000,0.518,-1.869,-38.589,0.0124,-0.045,-0.921,3.000,-5.878,-4.843,32.830,-0.1403,-0.116,0.784,3.000,-4.791,9.571,13.107,-0.1144,0.229,0.313,3.000,2.223,-3.524,-73.653,0.0531,-0.084,-1.758
3.050,2.125,2.969,-65.956,0.0507,0.071,-1.575,3.050,-5.631,-4.602,25.272,-0.1344,-0.110,0.603,3.050,-1.007,11.357,27.611,-0.0240,0.271,0.659,,,,,,,,3.050,0.179,12.650,3.334,0.0043,0.302,0.080,3.050,0.986,-1.906,-33.807,0.0236,-0.045,-0.807,3.050,-5.938,5.870,57.421,-0.1417,0.140,1.371,3.050,-4.244,-9.278,-2.950,-0.1013,-0.221,-0.070,3.050,0.363,-3.697,-29.287,0.0087,-0.088,-0.699,3.050,-6.088,-2.838,43.319,-0.1453,-0.068,1.034,3.050,-4.291,9.870,4.922,-0.1024,0.236,0.117,3.050,1.948,-7.241,-67.335,0.0465,-0.173,-1.607
3.100,2.190,-0.419,-66.986,0.0523,-0.010,-1.599,3.100,-5.837,-3.037,33.790,-0.1393,-0.072,0.807,3.100,-0.382,12.582,10.978,-0.0091,0.300,0.262,,,,,,,,3.100,0.845,12.278,-19.443,0.0202,0.293,-0.464,3.100,0.837,-3.519,-26.145,0.0200,-0.084,-0.624,3.100,-5.550,8.456,40.614,-0.1325,0.202,0.970,3.100,-4.725,-9.409,5.637,-0.1128,-0.225,0.135,3.100,0.127,-4.911,-16.720,0.0030,-0.117,-0.399,3.100,-6.180,-0.356,49.410,-0.1475,-0.008,1.180,3.100,-3.795,9.870,1.920,-0.0906,0.236,0.046,3.100,1.486,-10.524,-53.826,0.0355,-0.251,-1.285
3.150,2.083,-3.796,-65.153,0.0497,-0.091,-1.555,3.150,-5.949,-1.094,38.711,-0.1420,-0.026,0.924,3.150,0.292,12.687,-11.292,0.0070,0.303,-0.270,,,,,,,,3.150,1.455,10.624,-40.544,0.0347,0.254,-0.968,3.150,0.617,-4.623,-15.429,0.0147,-0.110,-0.368,3.150,-5.053,10.001,21.834,-0.1206,0.239,0.521,3.150,-5.209,-8.917,19.408,-0.1244,-0.213,0.463,3.150,-0.154,-5.404,-3.002,-0.0037,-0.129,-0.072,3.150,-6.131,2.314,49.707,-0.1464,0.055,1.187,3.150,-3.305,9.875,4.102,-0.0789,0.236,0.098,3.150,0.866,-12.901,-33.772,0.0207,-0.308,-0.806
3.200,1.808,-7.053,-59.254,0.0432,-0.168,-1.415,3.200,-5.952,0.995,39.130,-0.1421,0.024,0.934,3.200,0.938,11.462,-33.912,0.0224,0.274,-0.810,,,,,,,,3.200,1.942,7.985,-55.955,0.0464,0.191,-1.336,3.200,0.353,-5.110,-3.211,0.0084,-0.122,-0.077,3.200,-4.513,10.535,5.812,-0.1077,0.251,0.139,3.200,-5.649,-7.556,35.413,-0.1349,-0.180,0.845,3.200,-0.438,-5.178,9.809,-0.0105,-0.124,0.234,3.200,-5.942,4.828,44.157,-0.1419,0.115,1.054,3.200,-2.816,10.142,9.913,-0.0672,0.242,0.237,3.200,0.148,-14.012,-11.537,0.0035,-0.334,-0.275
